"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"LWZEPDAT","conferencePaper","2020","Mekala, Dheeraj; Shang, Jingbo","Contextualized Weak Supervision for Text Classification","Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics","","","10.18653/v1/2020.acl-main.30","https://aclanthology.org/2020.acl-main.30","Weakly supervised text classification based on a few user-provided seed words has recently attracted much attention from researchers. Existing methods mainly generate pseudo-labels in a context-free manner (e.g., string matching), therefore, the ambiguous, context-dependent nature of human language has been long overlooked. In this paper, we propose a novel framework ConWea, providing contextualized weak supervision for text classification. Specifically, we leverage contextualized representations of word occurrences and seed word information to automatically differentiate multiple interpretations of the same word, and thus create a contextualized corpus. This contextualized corpus is further utilized to train the classifier and expand seed words in an iterative manner. This process not only adds new contextualized, highly label-indicative keywords but also disambiguates initial seed words, making our weak supervision fully contextualized. Extensive experiments and case studies on real-world datasets demonstrate the necessity and significant advantages of using contextualized weak supervision, especially when the class labels are fine-grained.","2020-07","2024-08-29 02:49:03","2024-08-29 02:49:03","2023-01-20 11:02:25","323–333","","","","","","","","","","","Association for Computational Linguistics","Online","","","","","","ACLWeb","","","","C:\Users\frank\Zotero\storage\XXSFJ3YG\Mekala e Shang - 2020 - Contextualized Weak Supervision for Text Classific.pdf","","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACL 2020","","","","","","","","","","","","","","",""
"B7N6IEUK","preprint","2022","Metzenthin, Emanuel; Bartz, Christian; Meinel, Christoph","Weakly Supervised Scene Text Detection using Deep Reinforcement Learning","","","","10.48550/arXiv.2201.04866","http://arxiv.org/abs/2201.04866","The challenging field of scene text detection requires complex data annotation, which is time-consuming and expensive. Techniques, such as weak supervision, can reduce the amount of data needed. In this paper we propose a weak supervision method for scene text detection, which makes use of reinforcement learning (RL). The reward received by the RL agent is estimated by a neural network, instead of being inferred from ground-truth labels. First, we enhance an existing supervised RL approach to text detection with several training optimizations, allowing us to close the performance gap to regression-based algorithms. We then use our proposed system in a weakly- and semi-supervised training on real-world data. Our results show that training in a weakly supervised setting is feasible. However, we find that using our model in a semi-supervised setting , e.g. when combining labeled synthetic data with unannotated real-world data, produces the best results.","2022-01-13","2024-08-29 02:49:04","2024-08-29 02:49:04","2023-01-20 11:05:59","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","Issue: arXiv:2201.04866 arXiv:2201.04866 [cs]","","C:\Users\frank\Zotero\storage\X9TPEKBK\Metzenthin et al. - 2022 - Weakly Supervised Scene Text Detection using Deep .pdf; C:\Users\frank\Zotero\storage\BVUDH7B2\2201.html","","notion","Computer Science - Artificial Intelligence; Computer Science - Machine Learning; Computer Science - Computer Vision and Pattern Recognition","","","","","","","","","","","","","","","","","","","arXiv:2201.04866","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZLNIWP78","preprint","2020","Robinson, Joshua; Jegelka, Stefanie; Sra, Suvrit","Strength from Weakness: Fast Learning Using Weak Supervision","","","","","http://arxiv.org/abs/2002.08483","We study generalization properties of weakly supervised learning. That is, learning where only a few ""strong"" labels (the actual target of our prediction) are present but many more ""weak"" labels are available. In particular, we show that having access to weak labels can significantly accelerate the learning rate for the strong task to the fast rate of $\mathcal{O}(\nicefrac1n)$, where $n$ denotes the number of strongly labeled data points. This acceleration can happen even if by itself the strongly labeled data admits only the slower $\mathcal{O}(\nicefrac{1}{\sqrt{n}})$ rate. The actual acceleration depends continuously on the number of weak labels available, and on the relation between the two tasks. Our theoretical results are reflected empirically across a range of tasks and illustrate how weak labels speed up learning on the strong task.","2020-02-19","2024-08-29 02:49:06","2024-08-29 02:49:06","2023-01-20 11:11:16","","","","","","","Strength from Weakness","","","","","arXiv","","","","","","","arXiv.org","","Issue: arXiv:2002.08483 arXiv:2002.08483 [cs, stat]","","C:\Users\frank\Zotero\storage\4E8FS77B\Robinson et al. - 2020 - Strength from Weakness Fast Learning Using Weak S.pdf; C:\Users\frank\Zotero\storage\5XUL6P8P\2002.html","","notion","Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2002.08483","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8IMMUIHM","book","2022","Tok, Wee-Hyong; Bahree, Amit; Filipi, Senja","Practical weak supervision: doing more with less data","","978-1-4920-7706-0","","","","","2022","2024-08-29 02:49:07","2024-08-29 02:49:07","","","169","","","","","Practical weak supervision","","","","","O'Reilly","Cambridge","","","","","","Library of Congress ISBN","Q325.75 .T65 2022","OCLC: on1272887561","","","","notion","Apprentissage supervisé (Intelligence artificielle); Computer vision; Natural Language Processing; Natural language processing (Computer science); Supervised learning (Machine learning); Traitement automatique des langues naturelles; Vision par ordinateur","","","","","","","","","","","","","","","","","","","","First edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DD3V83B2","bookSection","2020","Zhang, Minqing; Gao, Jiantao; Lyu, Zhen; Zhao, Weibing; Wang, Qin; Ding, Weizhen; Wang, Sheng; Li, Zhen; Cui, Shuguang","Characterizing Label Errors: Confident Learning for Noisy-Labeled Image Segmentation","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","978-3-030-59709-2 978-3-030-59710-8","","","https://link.springer.com/10.1007/978-3-030-59710-8_70","","2020","2024-08-29 02:49:07","2024-08-29 02:49:07","2023-01-20 11:17:05","721-730","","","12261","","","Characterizing Label Errors","","","","","Springer International Publishing","Cham","en","","","","","DOI.org (Crossref)","","Series Title: Lecture Notes in Computer Science DOI: 10.1007/978-3-030-59710-8_70","","C:\Users\frank\Zotero\storage\WAUPIJG7\Zhang et al. - 2020 - Characterizing Label Errors Confident Learning fo.pdf","","notion","","Martel, Anne L.; Abolmaesumi, Purang; Stoyanov, Danail; Mateus, Diana; Zuluaga, Maria A.; Zhou, S. Kevin; Racoceanu, Daniel; Joskowicz, Leo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z4MB2WAC","journalArticle","2022","Zhang, Jing","Knowledge Learning With Crowdsourcing: A Brief Review and Systematic Perspective","IEEE/CAA Journal of Automatica Sinica","","2329-9274","10.1109/JAS.2022.105434","","Big data have the characteristics of enormous volume, high velocity, diversity, value-sparsity, and uncertainty, which lead the knowledge learning from them full of challenges. With the emergence of crowdsourcing, versatile information can be obtained on-demand so that the wisdom of crowds is easily involved to facilitate the knowledge learning process. During the past thirteen years, researchers in the AI community made great efforts to remove the obstacles in the field of learning from crowds. This concentrated survey paper comprehensively reviews the technical progress in crowdsourcing learning from a systematic perspective that includes three dimensions of data, models, and learning processes. In addition to reviewing existing important work, the paper places a particular emphasis on providing some promising blueprints on each dimension as well as discussing the lessons learned from our past research work, which will light up the way for new researchers and encourage them to pursue new contributions.","2022-05","2024-08-29 02:49:12","2024-08-29 02:49:12","","749-762","","5","9","","","Knowledge Learning With Crowdsourcing","","","","","","","","","","","","IEEE Xplore","","Number: 5 Conference Name: IEEE/CAA Journal of Automatica Sinica","","C:\Users\frank\Zotero\storage\GTQTK6KT\9763477.html; C:\Users\frank\Zotero\storage\DP4W653I\Zhang - 2022 - Knowledge Learning With Crowdsourcing A Brief Rev.pdf","","notion","Costs; Crowdsourcing; data fusion; Data models; Lead; learning from crowds; learning paradigms; learning with uncertainty; Systematics; Training; Uncertainty","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3IZM6KAA","bookSection","2021","Zhou, Zhi-Hua","Semi-Supervised Learning","Machine Learning","9789811519666 9789811519673","","","https://link.springer.com/10.1007/978-981-15-1967-3_13","","2021","2024-08-29 02:49:15","2024-08-29 02:49:15","2023-01-20 11:26:39","315-341","","","","","","","","","","","Springer Singapore","Singapore","en","","","","","DOI.org (Crossref)","","Book Authors: _:n464 DOI: 10.1007/978-981-15-1967-3_13","","","","notion","","","","","","","Zhou, Zhi-Hua","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QZJYKJ8F","conferencePaper","2021","Yu, Yue; Zuo, Simiao; Jiang, Haoming; Ren, Wendi; Zhao, Tuo; Zhang, Chao","Fine-Tuning Pre-trained Language Model with Weak Supervision: A Contrastive-Regularized Self-Training Approach","Proceedings of the 2021 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies","","","10.18653/v1/2021.naacl-main.84","https://aclanthology.org/2021.naacl-main.84","Fine-tuned pre-trained language models (LMs) have achieved enormous success in many natural language processing (NLP) tasks, but they still require excessive labeled data in the fine-tuning stage. We study the problem of fine-tuning pre-trained LMs using only weak supervision, without any labeled data. This problem is challenging because the high capacity of LMs makes them prone to overfitting the noisy labels generated by weak supervision. To address this problem, we develop a contrastive self-training framework, COSINE, to enable fine-tuning LMs with weak supervision. Underpinned by contrastive regularization and confidence-based reweighting, our framework gradually improves model fitting while effectively suppressing error propagation. Experiments on sequence, token, and sentence pair classification tasks show that our model outperforms the strongest baseline by large margins and achieves competitive performance with fully-supervised fine-tuning methods. Our implementation is available on https://github.com/yueyu1030/COSINE.","2021-06","2024-08-29 02:49:15","2024-08-29 02:49:15","2023-01-22 13:18:49","1063–1077","","","","","","Fine-Tuning Pre-trained Language Model with Weak Supervision","","","","","Association for Computational Linguistics","Online","","","","","","ACLWeb","","","","C:\Users\frank\Zotero\storage\JK2DBSB4\Yu et al. - 2021 - Fine-Tuning Pre-trained Language Model with Weak S.pdf; C:\Users\frank\Zotero\storage\UPG3UJRC\2010.html; C:\Users\frank\Zotero\storage\DFLBCKRY\Yu et al. - 2021 - Fine-Tuning Pre-trained Language Model with Weak S.pdf","","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NAACL-HLT 2021","","","","","","","","","","","","","","",""
"EJH2XBH3","preprint","2022","Wei, Jiaheng; Liu, Hangyu; Liu, Tongliang; Niu, Gang; Sugiyama, Masashi; Liu, Yang","To Smooth or Not? When Label Smoothing Meets Noisy Labels","","","","10.48550/arXiv.2106.04149","http://arxiv.org/abs/2106.04149","Label smoothing (LS) is an arising learning paradigm that uses the positively weighted average of both the hard training labels and uniformly distributed soft labels. It was shown that LS serves as a regularizer for training data with hard labels and therefore improves the generalization of the model. Later it was reported LS even helps with improving robustness when learning with noisy labels. However, we observed that the advantage of LS vanishes when we operate in a high label noise regime. Intuitively speaking, this is due to the increased entropy of $\mathbb{P}(\text{noisy label}|X)$ when the noise rate is high, in which case, further applying LS tends to ""over-smooth"" the estimated posterior. We proceeded to discover that several learning-with-noisy-labels solutions in the literature instead relate more closely to negative/not label smoothing (NLS), which acts counter to LS and defines as using a negative weight to combine the hard and soft labels! We provide understandings for the properties of LS and NLS when learning with noisy labels. Among other established properties, we theoretically show NLS is considered more beneficial when the label noise rates are high. We provide extensive experimental results on multiple benchmarks to support our findings too. Code is publicly available at https://github.com/UCSC-REAL/negative-label-smoothing.","2022-06-24","2024-08-29 02:49:18","2024-08-29 02:49:18","2023-01-22 13:39:51","","","","","","","To Smooth or Not?","","","","","arXiv","","","","","","","arXiv.org","","Issue: arXiv:2106.04149 arXiv:2106.04149 [cs]","","C:\Users\frank\Zotero\storage\5X2XXVR8\Wei et al. - 2022 - To Smooth or Not When Label Smoothing Meets Noisy.pdf; C:\Users\frank\Zotero\storage\MVB4TFCQ\2106.html","","notion","Computer Science - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2106.04149","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IQQVHU9V","journalArticle","2017","Ratner, Alexander; Bach, Stephen H.; Ehrenberg, Henry; Fries, Jason; Wu, Sen; Ré, Christopher","Snorkel: Rapid Training Data Creation with Weak Supervision","Proceedings of the VLDB Endowment","","2150-8097","10.14778/3157794.3157797","http://arxiv.org/abs/1711.10160","Labeling training data is increasingly the largest bottleneck in deploying machine learning systems. We present Snorkel, a first-of-its-kind system that enables users to train state-of-the-art models without hand labeling any training data. Instead, users write labeling functions that express arbitrary heuristics, which can have unknown accuracies and correlations. Snorkel denoises their outputs without access to ground truth by incorporating the first end-to-end implementation of our recently proposed machine learning paradigm, data programming. We present a flexible interface layer for writing labeling functions based on our experience over the past year collaborating with companies, agencies, and research labs. In a user study, subject matter experts build models 2.8x faster and increase predictive performance an average 45.5% versus seven hours of hand labeling. We study the modeling tradeoffs in this new setting and propose an optimizer for automating tradeoff decisions that gives up to 1.8x speedup per pipeline execution. In two collaborations, with the U.S. Department of Veterans Affairs and the U.S. Food and Drug Administration, and on four open-source text and image data sets representative of other deployments, Snorkel provides 132% average improvements to predictive performance over prior heuristic approaches and comes within an average 3.60% of the predictive performance of large hand-curated training sets.","2017-11","2024-08-29 02:49:21","2024-08-29 02:49:21","2023-01-22 18:21:39","269-282","","3","11","","Proc. VLDB Endow.","Snorkel","","","","","","","","","","","","arXiv.org","","Number: 3 arXiv:1711.10160 [cs, stat]","","C:\Users\frank\Zotero\storage\GE9ELL6X\Ratner et al. - 2017 - Snorkel Rapid Training Data Creation with Weak Su.pdf; C:\Users\frank\Zotero\storage\EV9F69KH\1711.html","","notion","Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2GXT7DQV","preprint","2020","Ma, Xingjun; Huang, Hanxun; Wang, Yisen; Romano, Simone; Erfani, Sarah; Bailey, James","Normalized Loss Functions for Deep Learning with Noisy Labels","","","","10.48550/arXiv.2006.13554","http://arxiv.org/abs/2006.13554","Robust loss functions are essential for training accurate deep neural networks (DNNs) in the presence of noisy (incorrect) labels. It has been shown that the commonly used Cross Entropy (CE) loss is not robust to noisy labels. Whilst new loss functions have been designed, they are only partially robust. In this paper, we theoretically show by applying a simple normalization that: any loss can be made robust to noisy labels. However, in practice, simply being robust is not sufficient for a loss function to train accurate DNNs. By investigating several robust loss functions, we find that they suffer from a problem of underfitting. To address this, we propose a framework to build robust loss functions called Active Passive Loss (APL). APL combines two robust loss functions that mutually boost each other. Experiments on benchmark datasets demonstrate that the family of new loss functions created by our APL framework can consistently outperform state-of-the-art methods by large margins, especially under large noise rates such as 60% or 80% incorrect labels.","2020-06-24","2024-08-29 02:49:23","2024-08-29 02:49:23","2023-01-23 13:03:01","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","Issue: arXiv:2006.13554 arXiv:2006.13554 [cs, stat]","","C:\Users\frank\Zotero\storage\JKSL9X92\Ma et al. - 2020 - Normalized Loss Functions for Deep Learning with N.pdf; C:\Users\frank\Zotero\storage\L4WAVR63\2006.html","","notion","Computer Science - Machine Learning; Statistics - Machine Learning; Computer Science - Computer Vision and Pattern Recognition","","","","","","","","","","","","","","","","","","","arXiv:2006.13554","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBBRBHCP","preprint","2019","Wang, Yisen; Ma, Xingjun; Chen, Zaiyi; Luo, Yuan; Yi, Jinfeng; Bailey, James","Symmetric Cross Entropy for Robust Learning with Noisy Labels","","","","10.48550/arXiv.1908.06112","http://arxiv.org/abs/1908.06112","Training accurate deep neural networks (DNNs) in the presence of noisy labels is an important and challenging task. Though a number of approaches have been proposed for learning with noisy labels, many open issues remain. In this paper, we show that DNN learning with Cross Entropy (CE) exhibits overfitting to noisy labels on some classes (""easy"" classes), but more surprisingly, it also suffers from significant under learning on some other classes (""hard"" classes). Intuitively, CE requires an extra term to facilitate learning of hard classes, and more importantly, this term should be noise tolerant, so as to avoid overfitting to noisy labels. Inspired by the symmetric KL-divergence, we propose the approach of \textbf{Symmetric cross entropy Learning} (SL), boosting CE symmetrically with a noise robust counterpart Reverse Cross Entropy (RCE). Our proposed SL approach simultaneously addresses both the under learning and overfitting problem of CE in the presence of noisy labels. We provide a theoretical analysis of SL and also empirically show, on a range of benchmark and real-world datasets, that SL outperforms state-of-the-art methods. We also show that SL can be easily incorporated into existing methods in order to further enhance their performance.","2019-08-16","2024-08-29 02:49:25","2024-08-29 02:49:25","2023-01-23 13:04:49","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","Issue: arXiv:1908.06112 arXiv:1908.06112 [cs, stat]","","C:\Users\frank\Zotero\storage\XTPKJQUJ\Wang et al. - 2019 - Symmetric Cross Entropy for Robust Learning with N.pdf; C:\Users\frank\Zotero\storage\DTAMVWNW\1908.html","","notion","Computer Science - Machine Learning; Statistics - Machine Learning; Computer Science - Computer Vision and Pattern Recognition","","","","","","","","","","","","","","","","","","","arXiv:1908.06112","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EIZG72RT","conferencePaper","2021","Karamanolakis, Giannis; Mukherjee, Subhabrata (Subho); Zheng, Guoqing; Awadallah, Ahmed H.","Self-training with Weak Supervision","NAACL 2021","","","","https://www.microsoft.com/en-us/research/publication/self-training-weak-supervision-astra/","State-of-the-art deep neural networks require large-scale labeled training data that is often expensive to obtain or not available for many tasks. Weak supervision in the form of domainspecific rules has been shown to be useful in such settings to automatically generate weakly labeled training data. However, learning with weak rules is challenging due to their inherent heuristic and noisy nature. An additional challenge is rule coverage and overlap, where prior work on weak supervision only considers instances that are covered by weak rules, thus leaving valuable unlabeled data behind. In this work, we develop a weak supervision framework (ASTRA) that leverages all the available data for a given task. To this end, we leverage task-specific unlabeled data through self-training with a model (student) that considers contextualized representations and predicts pseudo-labels for instances that may not be covered by weak rules. We further develop a rule attention network (teacher) that learns how to aggregate student pseudo-labels with weak rule labels, conditioned on their fidelity and the underlying context of an instance. Finally, we construct a semi-supervised learning objective for end-to-end training with unlabeled data, domain-specific rules, and a small amount of labeled data. Extensive experiments on six benchmark datasets for text classification demonstrate the effectiveness of our approach with significant improvements over state-of-the-art baselines.","2021-05","2024-08-29 02:49:27","2024-08-29 02:49:27","","","","","","","","","","","","","NAACL 2021","","","","","","","","","","","C:\Users\frank\Zotero\storage\H2758H46\Karamanolakis et al. - 2021 - Self-training with Weak Supervision.pdf","","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNSZCVY8","thesis","","Northcutt, Curtis George","Confident Learning for Machines and Humans","","","","","","The coupling of machine intelligence and human intelligence has the potential to empower humans with augmented capabilities (e.g., improving rhyme-density while writing song lyrics, enhancing empathy via emotion detection, and personalizing learning in online courses). Unfortunately, humans operate in an uncertain world – where the performance of even the most sophisticated model-centric artificially intelligent system often depends on its data-centric ability to deal with the uncertainty in the labels upon which it is trained.","","2024-08-29 02:49:29","2024-08-29 02:49:29","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\frank\Zotero\storage\SQWWLWZC\Northcutt - Confident Learning for Machines and Humans.pdf","","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NTU9DKG8","preprint","2022","Goh, Hui Wen; Tkachenko, Ulyana; Mueller, Jonas","Utilizing supervised models to infer consensus labels and their quality from data with multiple annotators","","","","10.48550/arXiv.2210.06812","http://arxiv.org/abs/2210.06812","Real-world data for classification is often labeled by multiple annotators. For analyzing such data, we introduce CROWDLAB, a straightforward approach to estimate: (1) A consensus label for each example that aggregates the individual annotations (more accurately than aggregation via majority-vote or other algorithms used in crowdsourcing); (2) A confidence score for how likely each consensus label is correct (via well-calibrated estimates that account for the number of annotations for each example and their agreement, prediction-confidence from a trained classifier, and trustworthiness of each annotator vs. the classifier); (3) A rating for each annotator quantifying the overall correctness of their labels. While many algorithms have been proposed to estimate related quantities in crowdsourcing, these often rely on sophisticated generative models with iterative inference schemes, whereas CROWDLAB is based on simple weighted ensembling. Many algorithms also rely solely on annotator statistics, ignoring the features of the examples from which the annotations derive. CROWDLAB in contrast utilizes any classifier model trained on these features, which can generalize between examples with similar features. In evaluations on real-world multi-annotator image data, our proposed method provides superior estimates for (1)-(3) than many alternative algorithms.","2022-10-13","2024-08-29 02:49:34","2024-08-29 02:49:34","2023-01-25 17:53:14","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","Issue: arXiv:2210.06812 arXiv:2210.06812 [cs, stat]","","C:\Users\frank\Zotero\storage\FCPSHBME\Goh et al. - 2022 - Utilizing supervised models to infer consensus lab.pdf; C:\Users\frank\Zotero\storage\3RFPI3A2\2210.html","","notion","Computer Science - Machine Learning; Statistics - Machine Learning; Computer Science - Human-Computer Interaction","","","","","","","","","","","","","","","","","","","arXiv:2210.06812","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WW2TDG6J","webpage","2023","","Class Imbalance, Outliers, and Distribution Shift","Introduction to Data-Centric AI","","","","https://dcai.csail.mit.edu/lectures/imbalance-outliers-shift/","","2023-01-26","2024-08-29 02:49:36","2024-08-29 02:49:36","2023-01-26 18:17:44","","","","","","","","","","","","","","en","","","","","","","","","","","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ED3PAS9Y","preprint","2021","Coleman, Cody; Chou, Edward; Katz-Samuels, Julian; Culatana, Sean; Bailis, Peter; Berg, Alexander C.; Nowak, Robert; Sumbaly, Roshan; Zaharia, Matei; Yalniz, I. Zeki","Similarity Search for Efficient Active Learning and Search of Rare Concepts","","","","10.48550/arXiv.2007.00077","http://arxiv.org/abs/2007.00077","Many active learning and search approaches are intractable for large-scale industrial settings with billions of unlabeled examples. Existing approaches search globally for the optimal examples to label, scaling linearly or even quadratically with the unlabeled data. In this paper, we improve the computational efficiency of active learning and search methods by restricting the candidate pool for labeling to the nearest neighbors of the currently labeled set instead of scanning over all of the unlabeled data. We evaluate several selection strategies in this setting on three large-scale computer vision datasets: ImageNet, OpenImages, and a de-identified and aggregated dataset of 10 billion images provided by a large internet company. Our approach achieved similar mean average precision and recall as the traditional global approach while reducing the computational cost of selection by up to three orders of magnitude, thus enabling web-scale active learning.","2021-07-22","2024-08-29 02:49:36","2024-08-29 02:49:36","2023-01-26 19:37:54","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","Issue: arXiv:2007.00077 arXiv:2007.00077 [cs, stat]","","C:\Users\frank\Zotero\storage\6CSB9WPI\Coleman et al. - 2021 - Similarity Search for Efficient Active Learning an.pdf; C:\Users\frank\Zotero\storage\3VGRE2MF\2007.html","","notion","Computer Science - Artificial Intelligence; Computer Science - Machine Learning; Statistics - Machine Learning; Computer Science - Computer Vision and Pattern Recognition","","","","","","","","","","","","","","","","","","","arXiv:2007.00077","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2UYE8P4G","preprint","2021","Renggli, Cedric; Rimanic, Luka; Gürel, Nezihe Merve; Karlaš, Bojan; Wu, Wentao; Zhang, Ce","A Data Quality-Driven View of MLOps","","","","10.48550/arXiv.2102.07750","http://arxiv.org/abs/2102.07750","Developing machine learning models can be seen as a process similar to the one established for traditional software development. A key difference between the two lies in the strong dependency between the quality of a machine learning model and the quality of the data used to train or perform evaluations. In this work, we demonstrate how different aspects of data quality propagate through various stages of machine learning development. By performing a joint analysis of the impact of well-known data quality dimensions and the downstream machine learning process, we show that different components of a typical MLOps pipeline can be efficiently designed, providing both a technical and theoretical perspective.","2021-02-15","2024-08-29 02:49:39","2024-08-29 02:49:39","2023-01-26 20:02:44","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","Issue: arXiv:2102.07750 arXiv:2102.07750 [cs]","","C:\Users\frank\Zotero\storage\AI25MN77\Renggli et al. - 2021 - A Data Quality-Driven View of MLOps.pdf; C:\Users\frank\Zotero\storage\TEF8UVJQ\2102.html","","notion","Computer Science - Machine Learning; Computer Science - Databases","","","","","","","","","","","","","","","","","","","arXiv:2102.07750","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WGNVBPDV","conferencePaper","2022","Patel, Hima; Guttula, Shanmukha; Mittal, Ruhi Sharma; Manwani, Naresh; Berti-Equille, Laure; Manatkar, Abhijit","Advances in Exploratory Data Analysis, Visualisation and Quality for Data Centric AI Systems","Proceedings of the 28th ACM SIGKDD Conference on Knowledge Discovery and Data Mining","978-1-4503-9385-0","","10.1145/3534678.3542604","https://doi.org/10.1145/3534678.3542604","It is widely accepted that data preparation is one of the most time-consuming steps of the machine learning (ML) lifecycle. It is also one of the most important steps, as the quality of data directly influences the quality of a model. In this tutorial, we will discuss the importance and the role of exploratory data analysis (EDA) and data visualisation techniques to find data quality issues and for data preparation, relevant to building ML pipelines. We will also discuss the latest advances in these fields and bring out areas that need innovation. To make the tutorial actionable for practitioners, we will also discuss the most popular open-source packages that one can get started with along with their strengths and weaknesses. Finally, we will discuss on the challenges posed by industry workloads and the gaps to be addressed to make data-centric AI real in industry settings.","2022-08-14","2024-08-29 02:49:40","2024-08-29 02:49:40","2023-01-26","4814–4815","","","","","","","KDD '22","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","","","notion","data-centric ai; exploratory data analysis; large scale analysis; machine learning; visualization techniques","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TMVYZ67W","book","","Monarch, Robert; Manning, Christopher D.","Human-in-the-Loop Machine Learning: Active Learning and Annotation for Human-Centered AI","","978-1-61729-674-1","","","","","","2024-08-29 02:49:40","2024-08-29 02:49:40","","","398","","","","","Human-in-the-Loop Machine Learning","","","","","","Sherlter Island, NY","en","","","","","K10plus ISBN","","","","C:\Users\frank\Zotero\storage\HSM3325K\Monarch e Manning - Human-in-the-Loop Machine Learning Active Learnin.pdf","","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2PS3BWL8","journalArticle","","Chen, Mayee; Sala, Frederic; Re, Chris","Lecture Notes on Weak Supervision","","","","","","","","2024-08-29 02:49:45","2024-08-29 02:49:45","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\frank\Zotero\storage\4UVSE89K\Chen et al. - Lecture Notes on Weak Supervision.pdf","","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
